"model_id","name","north","south","east","west","lat","lng","scale","rotate","gps_mapping","color","zone_id"
"46","Smithsonian","38.8894157409668","38.887691497802734","-77.02509307861328","-77.02685546875","38.888553619384766","-77.0259780883789","0","0",,"ff0000","-1"
"47","St. Patricks","40.75913619995117","40.75780487060547","-73.97513580322266","-73.97709655761719","40.75847244262695","-73.97611236572266","0","0",,"ff0000","5"
"48","Carnegie Hall","40.765419006347656","40.76454544067383","-73.97938537597656","-73.98046875","40.7648441308594","-73.97992706298828","0","0",,"ff0000","5"
"51","St. Basils Cathedral","55.753971099853516","55.75205612182617","37.623817443847656","37.62126922607422","55.7524","37.6232","0","0",,"ff0000","10"
"52","Trinity Church","42.350616455078125","42.34951400756836","-71.07457733154297","-71.07624053955078","42.35006332397461","-71.07540893554688","0","0",,"ff0000","9"
"56","Husky Union Building","47.65589141845703","47.65462112426758","-122.30476379394531","-122.30579376220703","47.65525817871094","-122.3052749633789","0","0",,"ff0000","16"
"57","Gasworks Park","47.646785736083984","47.64432907104492","-122.33235931396484","-122.33819580078125","47.64555740356445","-122.33527374267578","0","0",,"ff0000","13"
"55","Chicago Board of Trade","41.878604888916016","41.876686096191406","-87.63019561767578","-87.63343048095703","41.877647399902344","-87.6318130493164","0","0",,"ff0000","11"
"58","River City","41.872398376464844","41.870399475097656","-87.63330078125","-87.63600158691406","41.87139892578125","-87.63465118408203","0","0",,"ff0000","11"
"59","2300 Garden St steps","34.4392738342285","34.4388313293457","-119.715133666992","-119.715400695801","34.43905258178711","-119.71527099609375","0","0",,"ff0000","14"
"60","Santa Barbara Mission ","34.439300537109375","34.437599182128906","-119.71299743652344","-119.71499633789062","34.43840789794922","-119.7138900756836","0","0",,"ff0000","14"
"70","Mechanical Engineering","47.65457534790039","47.65309524536133","-122.30378723144531","-122.305149","47.65383529663086","-122.30474853515625","0","0",,"ff0000","22"
"71","AD White House","42.448638916015625","42.44784164428711","-76.48126220703125","-76.48265838623047","42.4482421875","-76.48196411132812","0","0",,"ff0000","23"
"69","James Hill Statue","47.65299987792969","47.652198791503906","-122.3042984008789","-122.30570220947266","47.6525993347168","-122.30500030517578","0","0",,"ff0000","22"
"68","McGraw Hall","42.449851989746094","42.44905090332031","-76.48473358154297","-76.48612976074219","42.4494514465332","-76.48543548583984","0","0",,"ff0000","23"
"72","Uris Library","42.448097229003906","42.44729995727539","-76.4847412109375","-76.48614501953125","42.447696685791016","-76.48544311523438","0","0",,"ff0000","23"
"73","Sage Hall","42.446311950683594","42.44551467895508","-76.48255920410156","-76.48396301269531","42.4459114074707","-76.48326110839844","0","0",,"ff0000","23"
"75","Allen Library","47.656131744384766","47.65498352050781","-122.3060073852539","-122.30810546875","47.655555725097656","-122.30706024169922","0","0",,"ff0000","22"
"76","Engineering Library","47.654869079589844","47.65406799316406","-122.30396270751953","-122.30535888671875","47.65446853637695","-122.30465698242188","0","0",,"ff0000","22"
"77","Lewis Hall","47.65911102294922","47.65853500366211","-122.30492401123047","-122.30577087402344","47.65882110595703","-122.30534362792969","0","0",,"ff0000","22"
"78","White Hall","42.45048141479492","42.450016021728516","-76.4852066040039","-76.48548126220703","42.45024871826172","-76.48534393310547","0","0",,"ff0000","23"
"79","Bailey Hall","42.4494895935059","42.4488563537598","-76.4796829223633","-76.4806594848633","42.44917297363281","-76.48017120361328","0","0",,"ff0000","23"
"80","Stimson Hall","42.4479866027832","42.44758224487305","-76.48298645019531","-76.48381805419922","42.447784423828125","-76.4833984375","0","0",,"ff0000","23"
