"flag_id","model_id","latitude","longitude","omit","winning_team_id","winning_player_id","team1","team2","team3","team4","disputed","snapshot_id","collectable","collector"
"225","14","47.6533941893439","-122.30487264691227","0","3","0","0","0","1568","382","1","4099","0","0"
"226","3","47.65278656665981","-122.3052290541043","0","3","0","0","40","7875","2905","0","4106","0","0"
"227","13","47.65389948413793","-122.30651314958531","0","3","0","0","0","9358","3252","0","4113","0","0"
"228","5","47.653140217165706","-122.30528847219341","0","4","0","0","0","1292","1918","1","4170","0","0"
"229","5","47.65308193411072","-122.3051092325374","0","4","0","0","0","396","425","1","4183","0","0"
"230","14","47.65396178105097","-122.3049586312784","0","3","0","0","0","12116","2846","0","4216","0","0"
"231","14","47.65411085661745","-122.30495134565695","0","3","0","0","0","7183","5397","0","4318","0","0"
"232","2","47.65394553428222","-122.3069795848345","0","3","0","0","0","1915","174","1","4341","0","0"
"233","13","47.65428445208941","-122.30701025703556","0","3","0","0","0","18443","310","0","4363","0","0"
"234","2","47.65394305994495","-122.30621094391739","0","4","0","0","87","10896","22651","0","4490","0","0"
"235","11","47.65555790381925","-122.3062462161618","0","2","0","0","200","0","48","1","4504","0","0"
"236","31","47.655442296138744","-122.3080129569885","0","4","0","0","0","1187","29791","0","4557","0","0"
"237","30","47.65402432875837","-122.30720536194518","0","4","0","0","0","976","1097","1","4564","0","0"
"238","30","47.654178319200575","-122.30728501232183","0","3","0","0","0","3393","215","0","4578","0","0"
"239","30","47.65408527934284","-122.30697023443159","0","3","0","0","0","2314","86","0","4578","0","0"
"240","30","47.65412757136759","-122.30711778228407","0","3","0","0","0","2496","67","0","4587","0","0"
"241","30","47.654869464078224","-122.30844529126216","0","3","0","0","0","374","220","1","4613","0","0"
"242","10","47.65590769682989","-122.31173669273639","0","3","0","0","0","228","0","1","4680","0","0"
"243","1","47.653776094469855","-122.30553339236087","0","3","7","11","0","1775","64","1","4712","0","0"
"244","11","47.65525782685063","-122.30651287022829","0","2","0","0","6439","245","651","0","4767","0","0"
"245","11","47.655260096420754","-122.30670213451371","0","2","0","0","5288","450","1796","0","4767","0","0"
"246","10","47.65537000198087","-122.31164446340273","0","3","0","0","0","345","0","1","4772","0","0"
"247","3","47.6527049392289","-122.30548500658333","0","3","0","0","0","4292","440","0","4918","0","0"
"248","30","47.65528669300449","-122.30769551546773","0","4","0","0","2660","9954","43509","0","4955","0","0"
"249","30","47.6550703073328","-122.30753533599261","0","4","0","0","0","6265","27120","0","4960","0","0"
"250","30","47.655205256462544","-122.30758659788172","0","4","0","0","991","8660","49403","0","5019","0","0"
"251","10","47.65536966733932","-122.3113438494713","0","3","0","0","0","473","0","1","5027","0","0"
"252","10","47.65525266658189","-122.31108758025219","0","3","0","0","0","532","0","1","5034","0","0"
"253","10","47.65515963839315","-122.31078403517742","0","3","0","0","0","361","0","1","5040","0","0"
"254","30","47.6544427364856","-122.30700209761106","0","3","0","0","0","3943","2508","0","5203","0","0"
"255","5","47.65306577348734","-122.30593349902763","0","3","0","0","0","7939","374","0","5229","0","0"
"256","36","47.598617688599","-122.32552819511974","0","3","0","0","0","18677","2026","0","0","0","0"
"257","36","47.59867286314515","-122.32574314451965","0","3","0","0","0","559","289","1","0","0","0"
